Intent,Question,Answer
Planet_Info,What is gravity of Mercury ,3.7 m/s²
Planet_Info,What is Mercurys mass,3.30 x 10^23 kg
Planet_Info,What is the Mercurys mass,3.30 x 10^23 kg
Planet_Info,What is mass of the Mercury ,3.30 x 10^23 kg
Planet_Info,What is the mass of the Mercury ,3.30 x 10^23 kg
Planet_Info,What is the mass of Mercury ,3.30 x 10^23 kg
Planet_Info,What is mass of Mercury ,3.30 x 10^23 kg
Planet_Info,What is Mercurys atmosphere composition,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is the Mercurys atmosphere composition,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is atmosphere composition of the Mercury ,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is the atmosphere composition of the Mercury ,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is the atmosphere composition of Mercury ,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is atmosphere composition of Mercury ,"Thin atmosphere, mostly oxygen and sodium"
Planet_Info,What is Mercurys number of moons,0
Planet_Info,What is the Mercurys number of moons,0
Planet_Info,What is number of moons of the Mercury ,0
Planet_Info,What is the number of moons of the Mercury ,0
Planet_Info,What is the number of moons of Mercury ,0
Planet_Info,What is number of moons of Mercury ,0
Planet_Info,What is the color of Venus,Yellowish-white
Planet_Info,What is the colour of Venus,Yellowish-white
Planet_Info,Which colour do the Venus have,Yellowish-white
Planet_Info,Which colour does Venus have,Yellowish-white
Planet_Info,Which color do Venus have,Yellowish-white
Planet_Info,Which color does the Venus have,Yellowish-white
Planet_Info,What moons does the Venus have,It has no Moon
Planet_Info,What moons do the Venus have,It has no Moon
Planet_Info,What moons does Venus have,It has no Moon
Planet_Info,What moons do Venus have,It has no Moon
Planet_Info,What is Venuss revolution period,225 Earth days
Planet_Info,What is the Venuss revolution period,225 Earth days
Planet_Info,What is revolution period of the Venus ,225 Earth days
Planet_Info,What is the revolution period of the Venus ,225 Earth days
Planet_Info,What is the revolution period of Venus ,225 Earth days
Planet_Info,What is revolution period of Venus ,225 Earth days
Planet_Info,What is Venuss rotation period,243 Earth days (retrograde)
Planet_Info,What is the Venuss rotation period,243 Earth days (retrograde)
Planet_Info,What is rotation period of the Venus ,243 Earth days (retrograde)
Planet_Info,What is the rotation period of the Venus ,243 Earth days (retrograde)
Planet_Info,What is the rotation period of Venus ,243 Earth days (retrograde)
Planet_Info,What is rotation period of Venus ,243 Earth days (retrograde)
Planet_Info,What is Venuss size (diameter),"12,104 km"
Planet_Info,What is the Venuss size (diameter),"12,104 km"
Planet_Info,What is size (diameter) of the Venus ,"12,104 km"
Planet_Info,What is the size (diameter) of the Venus ,"12,104 km"
Planet_Info,What is the size (diameter) of Venus ,"12,104 km"
Planet_Info,What is size (diameter) of Venus ,"12,104 km"
Planet_Info,What is Venuss gravity,8.87 m/s²
Planet_Info,What is the Venuss gravity,8.87 m/s²
Planet_Info,What is gravity of the Venus ,8.87 m/s²
Planet_Info,What is the gravity of the Venus ,8.87 m/s²
Planet_Info,What is the gravity of Venus ,8.87 m/s²
Planet_Info,What is gravity of Venus ,8.87 m/s²
Planet_Info,What is Venuss mass,4.87 x 10^24 kg
Planet_Info,What is the Venuss mass,4.87 x 10^24 kg
Planet_Info,What is mass of the Venus ,4.87 x 10^24 kg
Planet_Info,What is the mass of the Venus ,4.87 x 10^24 kg
Planet_Info,What is the mass of Venus ,4.87 x 10^24 kg
Planet_Info,What is mass of Venus ,4.87 x 10^24 kg
Planet_Info,What is Venuss atmosphere composition,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is the Venuss atmosphere composition,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is atmosphere composition of the Venus ,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is the atmosphere composition of the Venus ,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is the atmosphere composition of Venus ,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is atmosphere composition of Venus ,"Thick atmosphere, mostly carbon dioxide and nitrogen"
Planet_Info,What is Venuss number of moons,0
Planet_Info,What is the Venuss number of moons,0
Planet_Info,What is number of moons of the Venus ,0
Planet_Info,What is the number of moons of the Venus ,0
Planet_Info,What is the number of moons of Venus ,0
Planet_Info,What is number of moons of Venus ,0
Planet_Info,What is the color of Earth,Blue and green
Planet_Info,What is the colour of Earth,Blue and green
Planet_Info,Which colour do the Earth have,Blue and green
Planet_Info,Which colour does Earth have,Blue and green
Planet_Info,Which color do Earth have,Blue and green
Planet_Info,Which color does the Earth have,Blue and green
Planet_Info,What moons does the Earth have,Moon
Planet_Info,What moons do the Earth have,Moon
Planet_Info,What moons does Earth have,Moon
Planet_Info,What moons do Earth have,Moon
Planet_Info,What is Earths revolution period,365.25 Earth days
Planet_Info,What is the Earths revolution period,365.25 Earth days
Planet_Info,What is revolution period of the Earth ,365.25 Earth days
Planet_Info,What is the revolution period of the Earth ,365.25 Earth days
Planet_Info,What is the revolution period of Earth ,365.25 Earth days
Planet_Info,What is revolution period of Earth ,365.25 Earth days
Planet_Info,What is Earths rotation period,24 hours
Planet_Info,What is the Earths rotation period,24 hours
Planet_Info,What is rotation period of the Earth ,24 hours
Planet_Info,What is the rotation period of the Earth ,24 hours
Planet_Info,What is the rotation period of Earth ,24 hours
Planet_Info,What is rotation period of Earth ,24 hours
Planet_Info,What is Earths size (diameter),"12,742 km"
Planet_Info,What is the Earths size (diameter),"12,742 km"
Planet_Info,What is size (diameter) of the Earth ,"12,742 km"
Planet_Info,What is the size (diameter) of the Earth ,"12,742 km"
Planet_Info,What is the size (diameter) of Earth ,"12,742 km"
Planet_Info,What is size (diameter) of Earth ,"12,742 km"
Planet_Info,What is Earths gravity,9.81 m/s²
Planet_Info,What is the Earths gravity,9.81 m/s²
Planet_Info,What is gravity of the Earth ,9.81 m/s²
Planet_Info,What is the gravity of the Earth ,9.81 m/s²
Planet_Info,What is the gravity of Earth ,9.81 m/s²
Planet_Info,What is gravity of Earth ,9.81 m/s²
Planet_Info,What is Earths mass,5.97 x 10^24 kg
Planet_Info,What is the Earths mass,5.97 x 10^24 kg
Planet_Info,What is mass of the Earth ,5.97 x 10^24 kg
Planet_Info,What is the mass of the Earth ,5.97 x 10^24 kg
Planet_Info,What is the mass of Earth ,5.97 x 10^24 kg
Planet_Info,What is mass of Earth ,5.97 x 10^24 kg
Planet_Info,What is Earths atmosphere composition,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is the Earths atmosphere composition,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is atmosphere composition of the Earth ,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is the atmosphere composition of the Earth ,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is the atmosphere composition of Earth ,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is atmosphere composition of Earth ,"78% nitrogen, 21% oxygen, 1% other gases"
Planet_Info,What is Earths number of moons,1
Planet_Info,What is the Earths number of moons,1
Planet_Info,What is number of moons of the Earth ,1
Planet_Info,What is the number of moons of the Earth ,1
Planet_Info,What is the number of moons of Earth ,1
Planet_Info,What is number of moons of Earth ,1
Planet_Info,What is the color of Mars,Red
Planet_Info,What is the colour of Mars,Red
Planet_Info,Which colour do the Mars have,Red
Planet_Info,Which colour does Mars have,Red
Planet_Info,Which color do Mars have,Red
Planet_Info,Which color does the Mars have,Red
Planet_Info,What moons does the Mars have,"Phobos, Deimos"
Planet_Info,What moons do the Mars have,"Phobos, Deimos"
Planet_Info,What moons does Mars have,"Phobos, Deimos"
Planet_Info,What moons do Mars have,"Phobos, Deimos"
Planet_Info,What is Marss revolution period,687 Earth days
Planet_Info,What is the Marss revolution period,687 Earth days
Planet_Info,What is revolution period of the Mars ,687 Earth days
Planet_Info,What is the revolution period of the Mars ,687 Earth days
Planet_Info,What is the revolution period of Mars ,687 Earth days
Planet_Info,What is revolution period of Mars ,687 Earth days
Planet_Info,What is Marss rotation period,24.6 hours
Planet_Info,What is the Marss rotation period,24.6 hours
Planet_Info,What is rotation period of the Mars ,24.6 hours
Planet_Info,What is the rotation period of the Mars ,24.6 hours
Planet_Info,What is the rotation period of Mars ,24.6 hours
Planet_Info,What is rotation period of Mars ,24.6 hours
Planet_Info,What is Marss size (diameter),"6,779 km"
Planet_Info,What is the Marss size (diameter),"6,779 km"
Planet_Info,What is size (diameter) of the Mars ,"6,779 km"
Planet_Info,What is the size (diameter) of the Mars ,"6,779 km"
Planet_Info,What is the size (diameter) of Mars ,"6,779 km"
Planet_Info,What is size (diameter) of Mars ,"6,779 km"
Planet_Info,What is Marss gravity,3.71 m/s²
Planet_Info,What is the Marss gravity,3.71 m/s²
Planet_Info,What is gravity of the Mars ,3.71 m/s²
Planet_Info,What is the gravity of the Mars ,3.71 m/s²
Planet_Info,What is the gravity of Mars ,3.71 m/s²
Planet_Info,What is gravity of Mars ,3.71 m/s²
Planet_Info,What is Marss mass,0.641 x 10^24 kg
Planet_Info,What is the Marss mass,0.641 x 10^24 kg
Planet_Info,What is mass of the Mars ,0.641 x 10^24 kg
Planet_Info,What is the mass of the Mars ,0.641 x 10^24 kg
Planet_Info,What is the mass of Mars ,0.641 x 10^24 kg
Planet_Info,What is mass of Mars ,0.641 x 10^24 kg
Planet_Info,What is Marss atmosphere composition,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is the Marss atmosphere composition,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is atmosphere composition of the Mars ,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is the atmosphere composition of the Mars ,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is the atmosphere composition of Mars ,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is atmosphere composition of Mars ,"95% carbon dioxide, 3% nitrogen"
Planet_Info,What is Marss number of moons,2
Planet_Info,What is the Marss number of moons,2
Planet_Info,What is number of moons of the Mars ,2
Planet_Info,What is the number of moons of the Mars ,2
Planet_Info,What is the number of moons of Mars ,2
Planet_Info,What is number of moons of Mars ,2
Planet_Info,What is the color of Jupiter,"Brown, white, and red bands"
Planet_Info,What is the colour of Jupiter,"Brown, white, and red bands"
Planet_Info,Which colour do the Jupiter have,"Brown, white, and red bands"
Planet_Info,Which colour does Jupiter have,"Brown, white, and red bands"
Planet_Info,Which color do Jupiter have,"Brown, white, and red bands"
Planet_Info,Which color does the Jupiter have,"Brown, white, and red bands"
Planet_Info,What moons does the Jupiter have,"Io, Europa, Ganymede, Callisto, Amalthea, Himalia, Elara, Pasiphae, Sinope, Lysithea, Carme, Ananke, Leda, Thebe, Adrastea, Metis"
Planet_Info,What moons do the Jupiter have,"Io, Europa, Ganymede, Callisto, Amalthea, Himalia, Elara, Pasiphae, Sinope, Lysithea, Carme, Ananke, Leda, Thebe, Adrastea, Metis"
Planet_Info,What moons does Jupiter have,"Io, Europa, Ganymede, Callisto, Amalthea, Himalia, Elara, Pasiphae, Sinope, Lysithea, Carme, Ananke, Leda, Thebe, Adrastea, Metis"
Planet_Info,What moons do Jupiter have,"Io, Europa, Ganymede, Callisto, Amalthea, Himalia, Elara, Pasiphae, Sinope, Lysithea, Carme, Ananke, Leda, Thebe, Adrastea, Metis"
Planet_Info,What is Jupiters revolution period,11.86 Earth years
Planet_Info,What is the Jupiters revolution period,11.86 Earth years
Planet_Info,What is revolution period of the Jupiter ,11.86 Earth years
Planet_Info,What is the revolution period of the Jupiter ,11.86 Earth years
Planet_Info,What is the revolution period of Jupiter ,11.86 Earth years
Planet_Info,What is revolution period of Jupiter ,11.86 Earth years
Planet_Info,What is Jupiters rotation period,9.9 hours
Planet_Info,What is the Jupiters rotation period,9.9 hours
Planet_Info,What is rotation period of the Jupiter ,9.9 hours
Planet_Info,What is the rotation period of the Jupiter ,9.9 hours
Planet_Info,What is the rotation period of Jupiter ,9.9 hours
Planet_Info,What is rotation period of Jupiter ,9.9 hours
Planet_Info,What is Jupiters size (diameter),"139,820 km"
Planet_Info,What is the Jupiters size (diameter),"139,820 km"
Planet_Info,What is size (diameter) of the Jupiter ,"139,820 km"
Planet_Info,What is the size (diameter) of the Jupiter ,"139,820 km"
Planet_Info,What is the size (diameter) of Jupiter ,"139,820 km"
Planet_Info,What is size (diameter) of Jupiter ,"139,820 km"
Planet_Info,What is Jupiters gravity,24.79 m/s²
Planet_Info,What is the Jupiters gravity,24.79 m/s²
Planet_Info,What is gravity of the Jupiter ,24.79 m/s²
Planet_Info,What is the gravity of the Jupiter ,24.79 m/s²
Planet_Info,What is the gravity of Jupiter ,24.79 m/s²
Planet_Info,What is gravity of Jupiter ,24.79 m/s²
Planet_Info,What is Jupiters mass,1.90 x 10^27 kg
Planet_Info,What is the Jupiters mass,1.90 x 10^27 kg
Planet_Info,What is mass of the Jupiter ,1.90 x 10^27 kg
Planet_Info,What is the mass of the Jupiter ,1.90 x 10^27 kg
Planet_Info,What is the mass of Jupiter ,1.90 x 10^27 kg
Planet_Info,What is mass of Jupiter ,1.90 x 10^27 kg
Planet_Info,What is Jupiters atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is the Jupiters atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of the Jupiter ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of the Jupiter ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of Jupiter ,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of Jupiter ,Mostly hydrogen and helium
Planet_Info,What is Jupiters number of moons,95
Planet_Info,What is the Jupiters number of moons,95
Planet_Info,What is number of moons of the Jupiter ,95
Planet_Info,What is the number of moons of the Jupiter ,95
Planet_Info,What is the number of moons of Jupiter ,95
Planet_Info,What is number of moons of Jupiter ,95
Planet_Info,What is the color of Saturn,Pale yellow with rings
Planet_Info,What is the colour of Saturn,Pale yellow with rings
Planet_Info,Which colour do the Saturn have,Pale yellow with rings
Planet_Info,Which colour does Saturn have,Pale yellow with rings
Planet_Info,Which color do Saturn have,Pale yellow with rings
Planet_Info,Which color does the Saturn have,Pale yellow with rings
Planet_Info,What moons does the Saturn have,"Titan, Rhea, Iapetus, Dione, Tethys, Enceladus, Mimas, Hyperion, Phoebe, Janus, Epimetheus, Prometheus, Pandora, Helene, Telesto, Calypso, Atlas, Pan"
Planet_Info,What moons do the Saturn have,"Titan, Rhea, Iapetus, Dione, Tethys, Enceladus, Mimas, Hyperion, Phoebe, Janus, Epimetheus, Prometheus, Pandora, Helene, Telesto, Calypso, Atlas, Pan"
Planet_Info,What moons does Saturn have,"Titan, Rhea, Iapetus, Dione, Tethys, Enceladus, Mimas, Hyperion, Phoebe, Janus, Epimetheus, Prometheus, Pandora, Helene, Telesto, Calypso, Atlas, Pan"
Planet_Info,What moons do Saturn have,"Titan, Rhea, Iapetus, Dione, Tethys, Enceladus, Mimas, Hyperion, Phoebe, Janus, Epimetheus, Prometheus, Pandora, Helene, Telesto, Calypso, Atlas, Pan"
Planet_Info,What is Saturns revolution period,29.46 Earth years
Planet_Info,What is the Saturns revolution period,29.46 Earth years
Planet_Info,What is revolution period of the Saturn ,29.46 Earth years
Planet_Info,What is the revolution period of the Saturn ,29.46 Earth years
Planet_Info,What is the revolution period of Saturn ,29.46 Earth years
Planet_Info,What is revolution period of Saturn ,29.46 Earth years
Planet_Info,What is Saturns rotation period,10.7 hours
Planet_Info,What is the Saturns rotation period,10.7 hours
Planet_Info,What is rotation period of the Saturn ,10.7 hours
Planet_Info,What is the rotation period of the Saturn ,10.7 hours
Planet_Info,What is the rotation period of Saturn ,10.7 hours
Planet_Info,What is rotation period of Saturn ,10.7 hours
Planet_Info,What is Saturns size (diameter),"116,460 km"
Planet_Info,What is the Saturns size (diameter),"116,460 km"
Planet_Info,What is size (diameter) of the Saturn ,"116,460 km"
Planet_Info,What is the size (diameter) of the Saturn ,"116,460 km"
Planet_Info,What is the size (diameter) of Saturn ,"116,460 km"
Planet_Info,What is size (diameter) of Saturn ,"116,460 km"
Planet_Info,What is Saturns gravity,10.44 m/s²
Planet_Info,What is the Saturns gravity,10.44 m/s²
Planet_Info,What is gravity of the Saturn ,10.44 m/s²
Planet_Info,What is the gravity of the Saturn ,10.44 m/s²
Planet_Info,What is the gravity of Saturn ,10.44 m/s²
Planet_Info,What is gravity of Saturn ,10.44 m/s²
Planet_Info,What is Saturns mass,5.68 x 10^26 kg
Planet_Info,What is the Saturns mass,5.68 x 10^26 kg
Planet_Info,What is mass of the Saturn ,5.68 x 10^26 kg
Planet_Info,What is the mass of the Saturn ,5.68 x 10^26 kg
Planet_Info,What is the mass of Saturn ,5.68 x 10^26 kg
Planet_Info,What is mass of Saturn ,5.68 x 10^26 kg
Planet_Info,What is Saturns atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is the Saturns atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of the Saturn ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of the Saturn ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of Saturn ,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of Saturn ,Mostly hydrogen and helium
Planet_Info,What is Saturns number of moons,83
Planet_Info,What is the Saturns number of moons,83
Planet_Info,What is number of moons of the Saturn ,83
Planet_Info,What is the number of moons of the Saturn ,83
Planet_Info,What is the number of moons of Saturn ,83
Planet_Info,What is number of moons of Saturn ,83
Planet_Info,What is the color of Uranus,Light blue
Planet_Info,What is the colour of Uranus,Light blue
Planet_Info,Which colour do the Uranus have,Light blue
Planet_Info,Which colour does Uranus have,Light blue
Planet_Info,Which color do Uranus have,Light blue
Planet_Info,Which color does the Uranus have,Light blue
Planet_Info,What moons does the Uranus have,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, Sycorax, Prospero, Setebos, Stephano, Trinculo, Francisco, Margaret, Ferdinand, Perdita, Mab, Cupid"
Planet_Info,What moons do the Uranus have,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, Sycorax, Prospero, Setebos, Stephano, Trinculo, Francisco, Margaret, Ferdinand, Perdita, Mab, Cupid"
Planet_Info,What moons does Uranus have,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, Sycorax, Prospero, Setebos, Stephano, Trinculo, Francisco, Margaret, Ferdinand, Perdita, Mab, Cupid"
Planet_Info,What moons do Uranus have,"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, Sycorax, Prospero, Setebos, Stephano, Trinculo, Francisco, Margaret, Ferdinand, Perdita, Mab, Cupid"
Planet_Info,What is Uranuss revolution period,84 Earth years
Planet_Info,What is the Uranuss revolution period,84 Earth years
Planet_Info,What is revolution period of the Uranus ,84 Earth years
Planet_Info,What is the revolution period of the Uranus ,84 Earth years
Planet_Info,What is the revolution period of Uranus ,84 Earth years
Planet_Info,What is revolution period of Uranus ,84 Earth years
Planet_Info,What is Uranuss rotation period,17.2 hours
Planet_Info,What is the Uranuss rotation period,17.2 hours
Planet_Info,What is rotation period of the Uranus ,17.2 hours
Planet_Info,What is the rotation period of the Uranus ,17.2 hours
Planet_Info,What is the rotation period of Uranus ,17.2 hours
Planet_Info,What is rotation period of Uranus ,17.2 hours
Planet_Info,What is Uranuss size (diameter),"50,724 km"
Planet_Info,What is the Uranuss size (diameter),"50,724 km"
Planet_Info,What is size (diameter) of the Uranus ,"50,724 km"
Planet_Info,What is the size (diameter) of the Uranus ,"50,724 km"
Planet_Info,What is the size (diameter) of Uranus ,"50,724 km"
Planet_Info,What is size (diameter) of Uranus ,"50,724 km"
Planet_Info,What is Uranuss gravity,8.69 m/s²
Planet_Info,What is the Uranuss gravity,8.69 m/s²
Planet_Info,What is gravity of the Uranus ,8.69 m/s²
Planet_Info,What is the gravity of the Uranus ,8.69 m/s²
Planet_Info,What is the gravity of Uranus ,8.69 m/s²
Planet_Info,What is gravity of Uranus ,8.69 m/s²
Planet_Info,What is Uranuss mass,8.68 x 10^25 kg
Planet_Info,What is the Uranuss mass,8.68 x 10^25 kg
Planet_Info,What is mass of the Uranus ,8.68 x 10^25 kg
Planet_Info,What is the mass of the Uranus ,8.68 x 10^25 kg
Planet_Info,What is the mass of Uranus ,8.68 x 10^25 kg
Planet_Info,What is mass of Uranus ,8.68 x 10^25 kg
Planet_Info,What is Uranuss atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is the Uranuss atmosphere composition,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of the Uranus ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of the Uranus ,Mostly hydrogen and helium
Planet_Info,What is the atmosphere composition of Uranus ,Mostly hydrogen and helium
Planet_Info,What is atmosphere composition of Uranus ,Mostly hydrogen and helium
Planet_Info,What is Uranuss number of moons,27
Planet_Info,What is the Uranuss number of moons,27
Planet_Info,What is number of moons of the Uranus ,27
Planet_Info,What is the number of moons of the Uranus ,27
Planet_Info,What is the number of moons of Uranus ,27
Planet_Info,What is number of moons of Uranus ,27
Planet_Info,What is the color of Neptune,Deep blue
Planet_Info,What is the colour of Neptune,Deep blue
Planet_Info,Which colour do the Neptune have,Deep blue
Planet_Info,Which colour does Neptune have,Deep blue
Planet_Info,Which color do Neptune have,Deep blue
Planet_Info,Which color does the Neptune have,Deep blue
Planet_Info,What moons does the Neptune have,"Triton, Nereid, Naiad, Thalassa, Despina, Galatea, Larissa, Proteus, Halimede, Psamathe, Sao, Laomedeia, Neso"
Planet_Info,What moons do the Neptune have,"Triton, Nereid, Naiad, Thalassa, Despina, Galatea, Larissa, Proteus, Halimede, Psamathe, Sao, Laomedeia, Neso"
Planet_Info,What moons does Neptune have,"Triton, Nereid, Naiad, Thalassa, Despina, Galatea, Larissa, Proteus, Halimede, Psamathe, Sao, Laomedeia, Neso"
Planet_Info,What moons do Neptune have,"Triton, Nereid, Naiad, Thalassa, Despina, Galatea, Larissa, Proteus, Halimede, Psamathe, Sao, Laomedeia, Neso"
Planet_Info,What is Neptunes revolution period,164.8 Earth years
Planet_Info,What is the Neptunes revolution period,164.8 Earth years
Planet_Info,What is revolution period of the Neptune ,164.8 Earth years
Planet_Info,What is the revolution period of the Neptune ,164.8 Earth years
Planet_Info,What is the revolution period of Neptune ,164.8 Earth years
Planet_Info,What is revolution period of Neptune ,164.8 Earth years
Planet_Info,What is Neptunes rotation period,16.1 hours
Planet_Info,What is the Neptunes rotation period,16.1 hours
Planet_Info,What is rotation period of the Neptune ,16.1 hours
Planet_Info,What is the rotation period of the Neptune ,16.1 hours
Planet_Info,What is the rotation period of Neptune ,16.1 hours
Planet_Info,What is rotation period of Neptune ,16.1 hours
Planet_Info,What is Neptunes size (diameter),"49,244 km"
Planet_Info,What is the Neptunes size (diameter),"49,244 km"
Planet_Info,What is size (diameter) of the Neptune ,"49,244 km"
Planet_Info,What is the size (diameter) of the Neptune ,"49,244 km"
Planet_Info,What is the size (diameter) of Neptune ,"49,244 km"
Planet_Info,What is size (diameter) of Neptune ,"49,244 km"
Planet_Info,What is Neptunes gravity,11.15 m/s²
Planet_Info,What is the Neptunes gravity,11.15 m/s²
Planet_Info,What is gravity of the Neptune ,11.15 m/s²
Planet_Info,What is the gravity of the Neptune ,11.15 m/s²
Planet_Info,What is the gravity of Neptune ,11.15 m/s²
Planet_Info,What is gravity of Neptune ,11.15 m/s²
Planet_Info,What is Neptunes mass,1.02 x 10^26 kg
Planet_Info,What is the Neptunes mass,1.02 x 10^26 kg
Planet_Info,What is mass of the Neptune ,1.02 x 10^26 kg
Planet_Info,What is the mass of the Neptune ,1.02 x 10^26 kg
Planet_Info,What is the mass of Neptune ,1.02 x 10^26 kg
Planet_Info,What is mass of Neptune ,1.02 x 10^26 kg
Planet_Info,What is Neptunes atmosphere composition,"Mostly hydrogen, helium, and methane"
Planet_Info,What is the Neptunes atmosphere composition,"Mostly hydrogen, helium, and methane"
Planet_Info,What is atmosphere composition of the Neptune ,"Mostly hydrogen, helium, and methane"
Planet_Info,What is the atmosphere composition of the Neptune ,"Mostly hydrogen, helium, and methane"
Planet_Info,What is the atmosphere composition of Neptune ,"Mostly hydrogen, helium, and methane"
Planet_Info,What is atmosphere composition of Neptune ,"Mostly hydrogen, helium, and methane"
Planet_Info,What is Neptunes number of moons,14
Planet_Info,What is the Neptunes number of moons,14
Planet_Info,What is number of moons of the Neptune ,14
Planet_Info,What is the number of moons of the Neptune ,14
Planet_Info,What is the number of moons of Neptune ,14
Planet_Info,What is number of moons of Neptune ,14
